;Scopy version,f4beeb1
;Exported on,Freitag August 30/08/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
654,0.00194,0.551839,0.892755
655,0.00195,0.551839,0.892755
656,0.00196,0.551839,0.909459
657,0.00197,0.551839,0.942866
658,0.00198,0.551839,0.942866
659,0.00199,0.551839,0.942866
660,0.002,0.551839,0.95957
661,0.00201,0.551839,0.976274
662,0.00202,0.551839,1.00968
663,0.00203,0.551839,1.04309
664,0.00204,0.568543,1.02638
665,0.00205,0.568543,1.05979
666,0.00206,0.568543,1.0932
667,0.00207,0.568543,1.0932
668,0.00208,0.568543,1.1099
669,0.00209,0.568543,1.1099
670,0.0021,0.568543,1.14331
671,0.00211,0.568543,1.12661
672,0.00212,0.568543,1.14331
673,0.00213,0.568543,1.16001
674,0.00214,0.568543,1.17672
675,0.00215,0.568543,1.19342
676,0.00216,0.568543,1.21013
677,0.00217,0.568543,1.24353
678,0.00218,0.568543,1.26024
679,0.00219,0.568543,1.29364
680,0.0022,0.568543,1.29364
681,0.00221,0.568543,1.29364
682,0.00222,0.568543,1.31035
683,0.00223,0.568543,1.32705
684,0.00224,0.568543,1.36046
685,0.00225,0.568543,1.36046
